EquationKey,EquationChapter,Equation,Equation-Description,Taxonomy-Domain,Taxonomy-Subdomain,Taxonomy-Specific,Variable,Variable_LaTeX,Variables_Description_LaTeX,Variables_Domain,Variables_Domain_LaTeX
Bonus1,FeynmanBonus1,Bonus1.0,Mott scattering cross-section (relativistic Rutherford),Physics,Nuclear Physics,Scattering Theory,c,$c$,$c$: speed of light,"c \in [1.0,2.0]","$c \in [1.0,2.0]$"
Bonus1,FeynmanBonus1,Bonus1.0,Mott scattering cross-section (relativistic Rutherford),Physics,Nuclear Physics,Scattering Theory,En,$E_n$,$E_n$: kinetic energy of projectile,"E_n \in [1.0,3.0]","$E_n \in [1.0,3.0]$"
Bonus1,FeynmanBonus1,Bonus1.0,Mott scattering cross-section (relativistic Rutherford),Physics,Nuclear Physics,Scattering Theory,theta,$\theta$,$\theta$: scattering angle,"\theta \in [1.0,3.0]","$\theta \in [1.0,3.0]$"
Bonus2,FeynmanBonus2,Bonus2.0,Effective potential in two-body problem,Physics,Classical Mechanics,Central Force Motion,m,$m$,$m$: reduced mass of system,"m \in [1.0,3.0]","$m \in [1.0,3.0]$"
Bonus2,FeynmanBonus2,Bonus2.0,Effective potential in two-body problem,Physics,Classical Mechanics,Central Force Motion,kG,$k_G$,$k_G$: gravitational coupling $Gm_1m_2$,"k_G \in [1.0,3.0]","$k_G \in [1.0,3.0]$"
Bonus2,FeynmanBonus2,Bonus2.0,Effective potential in two-body problem,Physics,Classical Mechanics,Central Force Motion,L,$L$,$L$: total angular momentum,"L \in [1.0,3.0]","$L \in [1.0,3.0]$"
Bonus2,FeynmanBonus2,Bonus2.0,Effective potential in two-body problem,Physics,Classical Mechanics,Central Force Motion,En,$E_n$,$E_n$: total mechanical energy,"E_n \in [1.0,3.0]","$E_n \in [1.0,3.0]$"
Bonus2,FeynmanBonus2,Bonus2.0,Effective potential in two-body problem,Physics,Classical Mechanics,Central Force Motion,theta1,$\theta_1$,$\theta_1$: current true anomaly,"\theta_1 \in [0.0,6.0]","$\theta_1 \in [0.0,6.0]$"
Bonus2,FeynmanBonus2,Bonus2.0,Effective potential in two-body problem,Physics,Classical Mechanics,Central Force Motion,theta2,$\theta_2$,$\theta_2$: periapsis argument,"\theta_2 \in [0.0,6.0]","$\theta_2 \in [0.0,6.0]$"
Bonus3,FeynmanBonus3,Bonus3.0,Orbit equation (conic section with eccentricity),Physics,Classical Mechanics,Orbital Mechanics,d,$d$,$d$: semi-latus rectum of orbit,"d \in [1.0,3.0]","$d \in [1.0,3.0]$"
Bonus3,FeynmanBonus3,Bonus3.0,Orbit equation (conic section with eccentricity),Physics,Classical Mechanics,Orbital Mechanics,alpha,$\alpha$,$\alpha$: orbital eccentricity,"\alpha \in [2.0,4.0]","$\alpha \in [2.0,4.0]$"
Bonus3,FeynmanBonus3,Bonus3.0,Orbit equation (conic section with eccentricity),Physics,Classical Mechanics,Orbital Mechanics,theta1,$\theta_1$,$\theta_1$: current true anomaly,"\theta_1 \in [4.0,5.0]","$\theta_1 \in [4.0,5.0]$"
Bonus3,FeynmanBonus3,Bonus3.0,Orbit equation (conic section with eccentricity),Physics,Classical Mechanics,Orbital Mechanics,theta2,$\theta_2$,$\theta_2$: argument of periapsis,"\theta_2 \in [4.0,5.0]","$\theta_2 \in [4.0,5.0]$"
Bonus4,FeynmanBonus4,Bonus4.0,Radial velocity (classical orbital mechanics),Physics,Classical Mechanics,Orbital Dynamics,m,$m$,$m$: mass,"m \in [1.0,3.0]","$m \in [1.0,3.0]$"
Bonus4,FeynmanBonus4,Bonus4.0,Radial velocity (classical orbital mechanics),Physics,Classical Mechanics,Orbital Dynamics,En,$E_n$,$E_n$: total energy,"E_n \in [8.0,12.0]","$E_n \in [8.0,12.0]$"
Bonus4,FeynmanBonus4,Bonus4.0,Radial velocity (classical orbital mechanics),Physics,Classical Mechanics,Orbital Dynamics,U,$U$,$U$: potential energy,"U \in [1.0,3.0]","$U \in [1.0,3.0]$"
Bonus4,FeynmanBonus4,Bonus4.0,Radial velocity (classical orbital mechanics),Physics,Classical Mechanics,Orbital Dynamics,L,$L$,$L$: angular momentum,"L \in [1.0,3.0]","$L \in [1.0,3.0]$"
Bonus4,FeynmanBonus4,Bonus4.0,Radial velocity (classical orbital mechanics),Physics,Classical Mechanics,Orbital Dynamics,r,$r$,$r$: radial distance,"r \in [1.0,3.0]","$r \in [1.0,3.0]$"
Bonus5,FeynmanBonus5,Bonus5.0,Kepler's third law (orbital period),Astronomy,Celestial Mechanics,Keplerian Orbits,d,$d$,$d$: semi-major axis of orbit,"d \in [1.0,3.0]","$d \in [1.0,3.0]$"
Bonus5,FeynmanBonus5,Bonus5.0,Kepler's third law (orbital period),Astronomy,Celestial Mechanics,Keplerian Orbits,G,$G$,$G$: gravitational constant,"G \in [1.0,3.0]","$G \in [1.0,3.0]$"
Bonus5,FeynmanBonus5,Bonus5.0,Kepler's third law (orbital period),Astronomy,Celestial Mechanics,Keplerian Orbits,m1,$m_1$,$m_1$: mass of primary body,"m_1 \in [1.0,3.0]","$m_1 \in [1.0,3.0]$"
Bonus5,FeynmanBonus5,Bonus5.0,Kepler's third law (orbital period),Astronomy,Celestial Mechanics,Keplerian Orbits,m2,$m_2$,$m_2$: mass of orbiting body,"m_2 \in [1.0,3.0]","$m_2 \in [1.0,3.0]$"
Bonus6,FeynmanBonus6,Bonus6.0,Eccentricity of Coulomb/Kepler orbit,Physics,Classical Mechanics,Central Force Orbits,epsilon,$\epsilon$,$\epsilon$: permittivity of vacuum,"\epsilon \in [1.0,3.0]","$\epsilon \in [1.0,3.0]$"
Bonus6,FeynmanBonus6,Bonus6.0,Eccentricity of Coulomb/Kepler orbit,Physics,Classical Mechanics,Central Force Orbits,L,$L$,$L$: orbital angular momentum,"L \in [1.0,3.0]","$L \in [1.0,3.0]$"
Bonus6,FeynmanBonus6,Bonus6.0,Eccentricity of Coulomb/Kepler orbit,Physics,Classical Mechanics,Central Force Orbits,En,$E_n$,$E_n$: total mechanical energy,"E_n \in [1.0,3.0]","$E_n \in [1.0,3.0]$"
Bonus6,FeynmanBonus6,Bonus6.0,Eccentricity of Coulomb/Kepler orbit,Physics,Classical Mechanics,Central Force Orbits,Z1,$Z_1$,$Z_1$: charge number of particle 1,"Z_1 \in [1.0,3.0]","$Z_1 \in [1.0,3.0]$"
Bonus6,FeynmanBonus6,Bonus6.0,Eccentricity of Coulomb/Kepler orbit,Physics,Classical Mechanics,Central Force Orbits,Z2,$Z_2$,$Z_2$: charge number of particle 2,"Z_2 \in [1.0,3.0]","$Z_2 \in [1.0,3.0]$"
Bonus6,FeynmanBonus6,Bonus6.0,Eccentricity of Coulomb/Kepler orbit,Physics,Classical Mechanics,Central Force Orbits,m,$m$,$m$: reduced mass of system,"m \in [1.0,3.0]","$m \in [1.0,3.0]$"
Bonus6,FeynmanBonus6,Bonus6.0,Eccentricity of Coulomb/Kepler orbit,Physics,Classical Mechanics,Central Force Orbits,q,$q$,$q$: elementary charge,"q \in [1.0,3.0]","$q \in [1.0,3.0]$"
Bonus7,FeynmanBonus7,Bonus7.0,"Friedmann equation (Hubble parameter, $H = \dot{a}/a$)",Astronomy,Cosmology,Expansion Dynamics,G,$G$,$G$: grav constant,"G \in [1.0,3.0]","$G \in [1.0,3.0]$"
Bonus7,FeynmanBonus7,Bonus7.0,"Friedmann equation (Hubble parameter, $H = \dot{a}/a$)",Astronomy,Cosmology,Expansion Dynamics,rho,$\rho$,$\rho$: mass density,"\rho \in [1.0,3.0]","$\rho \in [1.0,3.0]$"
Bonus7,FeynmanBonus7,Bonus7.0,"Friedmann equation (Hubble parameter, $H = \dot{a}/a$)",Astronomy,Cosmology,Expansion Dynamics,alpha,$\alpha$,$\alpha$: curvature constant,"\alpha \in [1.0,2.0]","$\alpha \in [1.0,2.0]$"
Bonus7,FeynmanBonus7,Bonus7.0,"Friedmann equation (Hubble parameter, $H = \dot{a}/a$)",Astronomy,Cosmology,Expansion Dynamics,c,$c$,$c$: speed of light,"c \in [1.0,2.0]","$c \in [1.0,2.0]$"
Bonus7,FeynmanBonus7,Bonus7.0,"Friedmann equation (Hubble parameter, $H = \dot{a}/a$)",Astronomy,Cosmology,Expansion Dynamics,d,$d$,$d$: scale factor,"d \in [1.0,3.0]","$d \in [1.0,3.0]$"
Bonus8,FeynmanBonus8,Bonus8.0,Compton scattering (scattered photon energy),Physics,Quantum Mechanics,Photon Scattering,En,$E_n$,$E_n$: photon energy,"E_n \in [1.0,3.0]","$E_n \in [1.0,3.0]$"
Bonus8,FeynmanBonus8,Bonus8.0,Compton scattering (scattered photon energy),Physics,Quantum Mechanics,Photon Scattering,m,$m$,$m$: electron mass,"m \in [1.0,3.0]","$m \in [1.0,3.0]$"
Bonus8,FeynmanBonus8,Bonus8.0,Compton scattering (scattered photon energy),Physics,Quantum Mechanics,Photon Scattering,c,$c$,$c$: speed of light,"c \in [1.0,3.0]","$c \in [1.0,3.0]$"
Bonus8,FeynmanBonus8,Bonus8.0,Compton scattering (scattered photon energy),Physics,Quantum Mechanics,Photon Scattering,theta,$\theta$,$\theta$: scattering angle,"\theta \in [1.0,3.0]","$\theta \in [1.0,3.0]$"
Bonus9,FeynmanBonus9,Bonus9.0,Gravitational wave power loss (binary system),Physics,General Relativity,Gravitational Radiation,G,$G$,$G$: gravitational constant,"G \in [1.0,2.0]","$G \in [1.0,2.0]$"
Bonus9,FeynmanBonus9,Bonus9.0,Gravitational wave power loss (binary system),Physics,General Relativity,Gravitational Radiation,c,$c$,$c$: speed of light,"c \in [1.0,2.0]","$c \in [1.0,2.0]$"
Bonus9,FeynmanBonus9,Bonus9.0,Gravitational wave power loss (binary system),Physics,General Relativity,Gravitational Radiation,m1,$m_1$,$m_1$: mass of first body,"m_1 \in [1.0,5.0]","$m_1 \in [1.0,5.0]$"
Bonus9,FeynmanBonus9,Bonus9.0,Gravitational wave power loss (binary system),Physics,General Relativity,Gravitational Radiation,m2,$m_2$,$m_2$: mass of second body,"m_2 \in [1.0,5.0]","$m_2 \in [1.0,5.0]$"
Bonus9,FeynmanBonus9,Bonus9.0,Gravitational wave power loss (binary system),Physics,General Relativity,Gravitational Radiation,r,$r$,$r$: orbital separation,"r \in [1.0,2.0]","$r \in [1.0,2.0]$"
Bonus10,FeynmanBonus10,Bonus10.0,Relativistic aberration angle,Physics,Relativity,Light Aberration,c,$c$,$c$: speed of light,"c \in [4.0,6.0]","$c \in [4.0,6.0]$"
Bonus10,FeynmanBonus10,Bonus10.0,Relativistic aberration angle,Physics,Relativity,Light Aberration,v,$v$,$v$: velocity,"v \in [1.0,3.0]","$v \in [1.0,3.0]$"
Bonus10,FeynmanBonus10,Bonus10.0,Relativistic aberration angle,Physics,Relativity,Light Aberration,theta2,$\theta_2$,$\theta_2$: angle in rest frame,"\theta_2 \in [1.0,3.0]","$\theta_2 \in [1.0,3.0]$"
Bonus11,FeynmanBonus11,Bonus11.0,Fraunhofer diffraction (N-slit interference pattern),Physics,Optics,Diffraction Patterns,I0,$I_0$,$I_0$: max intensity,"I_0 \in [1.0,3.0]","$I_0 \in [1.0,3.0]$"
Bonus11,FeynmanBonus11,Bonus11.0,Fraunhofer diffraction (N-slit interference pattern),Physics,Optics,Diffraction Patterns,alpha,$\alpha$,$\alpha$: single-slit phase,"\alpha \in [1.0,3.0]","$\alpha \in [1.0,3.0]$"
Bonus11,FeynmanBonus11,Bonus11.0,Fraunhofer diffraction (N-slit interference pattern),Physics,Optics,Diffraction Patterns,delta,$\delta$,$\delta$: inter-slit phase,"\delta \in [1.0,3.0]","$\delta \in [1.0,3.0]$"
Bonus11,FeynmanBonus11,Bonus11.0,Fraunhofer diffraction (N-slit interference pattern),Physics,Optics,Diffraction Patterns,n,$n$,$n$: number of slits,"n \in [1.0,2.0]","$n \in [1.0,2.0]$"
Bonus12,FeynmanBonus12,Bonus12.0,Electric field from grounded conducting sphere (image charge method),Physics,Electromagnetism,Electrostatic Boundary Problems,q,$q$,$q$: point charge,"q \in [1.0,5.0]","$q \in [1.0,5.0]$"
Bonus12,FeynmanBonus12,Bonus12.0,Electric field from grounded conducting sphere (image charge method),Physics,Electromagnetism,Electrostatic Boundary Problems,Volt,$Volt$,$Volt$: potential reference,"Volt \in [1.0,5.0]","$Volt \in [1.0,5.0]$"
Bonus12,FeynmanBonus12,Bonus12.0,Electric field from grounded conducting sphere (image charge method),Physics,Electromagnetism,Electrostatic Boundary Problems,d,$d$,$d$: sphere radius,"d \in [4.0,6.0]","$d \in [4.0,6.0]$"
Bonus12,FeynmanBonus12,Bonus12.0,Electric field from grounded conducting sphere (image charge method),Physics,Electromagnetism,Electrostatic Boundary Problems,epsilon,$\epsilon$,$\epsilon$: permittivity of vacuum,"\epsilon \in [1.0,5.0]","$\epsilon \in [1.0,5.0]$"
Bonus12,FeynmanBonus12,Bonus12.0,Electric field from grounded conducting sphere (image charge method),Physics,Electromagnetism,Electrostatic Boundary Problems,y,$y$,$y$: distance from sphere center,"y \in [1.0,3.0]","$y \in [1.0,3.0]$"
Bonus13,FeynmanBonus13,Bonus13.0,Coulomb potential (law of cosines form for arbitrary geometry),Physics,Electromagnetism,Electric Potential,q,$q$,$q$: point charge magnitude,"q \in [1.0,5.0]","$q \in [1.0,5.0]$"
Bonus13,FeynmanBonus13,Bonus13.0,Coulomb potential (law of cosines form for arbitrary geometry),Physics,Electromagnetism,Electric Potential,epsilon,$\epsilon$,$\epsilon$: permittivity of medium,"\epsilon \in [1.0,5.0]","$\epsilon \in [1.0,5.0]$"
Bonus13,FeynmanBonus13,Bonus13.0,Coulomb potential (law of cosines form for arbitrary geometry),Physics,Electromagnetism,Electric Potential,d,$d$,$d$: distance from origin to charge,"d \in [4.0,6.0]","$d \in [4.0,6.0]$"
Bonus13,FeynmanBonus13,Bonus13.0,Coulomb potential (law of cosines form for arbitrary geometry),Physics,Electromagnetism,Electric Potential,r,$r$,$r$: distance from origin to field point,"r \in [1.0,3.0]","$r \in [1.0,3.0]$"
Bonus13,FeynmanBonus13,Bonus13.0,Coulomb potential (law of cosines form for arbitrary geometry),Physics,Electromagnetism,Electric Potential,alpha,$\alpha$,$\alpha$: angle between $\mathbf{d}$ and $\mathbf{r}$,"\alpha \in [0.0,6.0]","$\alpha \in [0.0,6.0]$"
Bonus14,FeynmanBonus14,Bonus14.0,Induced dipole potential (dielectric sphere in uniform field),Physics,Electromagnetism,Dielectric Response,Ef,$Ef$,$Ef$: external electric field,"Ef \in [1.0,5.0]","$Ef \in [1.0,5.0]$"
Bonus14,FeynmanBonus14,Bonus14.0,Induced dipole potential (dielectric sphere in uniform field),Physics,Electromagnetism,Dielectric Response,alpha,$\alpha$,$\alpha$: relative dielectric constant,"\alpha \in [1.0,5.0]","$\alpha \in [1.0,5.0]$"
Bonus14,FeynmanBonus14,Bonus14.0,Induced dipole potential (dielectric sphere in uniform field),Physics,Electromagnetism,Dielectric Response,d,$d$,$d$: sphere radius,"d \in [1.0,5.0]","$d \in [1.0,5.0]$"
Bonus14,FeynmanBonus14,Bonus14.0,Induced dipole potential (dielectric sphere in uniform field),Physics,Electromagnetism,Dielectric Response,r,$r$,$r$: distance from sphere center,"r \in [1.0,5.0]","$r \in [1.0,5.0]$"
Bonus14,FeynmanBonus14,Bonus14.0,Induced dipole potential (dielectric sphere in uniform field),Physics,Electromagnetism,Dielectric Response,theta,$\theta$,$\theta$: polar angle from field direction,"\theta \in [0.0,6.0]","$\theta \in [0.0,6.0]$"
Bonus15,FeynmanBonus15,Bonus15.0,Relativistic Doppler shift (general angle),Physics,Relativity,Doppler Effect,omega,$\omega$,$\omega$: source frequency (rest frame),"\omega \in [1.0,5.0]","$\omega \in [1.0,5.0]$"
Bonus15,FeynmanBonus15,Bonus15.0,Relativistic Doppler shift (general angle),Physics,Relativity,Doppler Effect,v,$v$,$v$: relative velocity,"v \in [1.0,3.0]","$v \in [1.0,3.0]$"
Bonus15,FeynmanBonus15,Bonus15.0,Relativistic Doppler shift (general angle),Physics,Relativity,Doppler Effect,c,$c$,$c$: speed of light,"c \in [5.0,20.0]","$c \in [5.0,20.0]$"
Bonus15,FeynmanBonus15,Bonus15.0,Relativistic Doppler shift (general angle),Physics,Relativity,Doppler Effect,theta,$\theta$,$\theta$: angle between velocity and observation,"\theta \in [0.0,6.0]","$\theta \in [0.0,6.0]$"
Bonus16,FeynmanBonus16,Bonus16.0,"Relativistic Hamiltonian (charged particle in EM field, minimal coupling)",Physics,Relativity,Relativistic Dynamics,Volt,$Volt$,$Volt$: scalar potential,"Volt \in [1.0,5.0]","$Volt \in [1.0,5.0]$"
Bonus16,FeynmanBonus16,Bonus16.0,"Relativistic Hamiltonian (charged particle in EM field, minimal coupling)",Physics,Relativity,Relativistic Dynamics,q,$q$,$q$: particle charge,"q \in [1.0,5.0]","$q \in [1.0,5.0]$"
Bonus16,FeynmanBonus16,Bonus16.0,"Relativistic Hamiltonian (charged particle in EM field, minimal coupling)",Physics,Relativity,Relativistic Dynamics,c,$c$,$c$: speed of light,"c \in [1.0,5.0]","$c \in [1.0,5.0]$"
Bonus16,FeynmanBonus16,Bonus16.0,"Relativistic Hamiltonian (charged particle in EM field, minimal coupling)",Physics,Relativity,Relativistic Dynamics,m,$m$,$m$: rest mass,"m \in [1.0,5.0]","$m \in [1.0,5.0]$"
Bonus16,FeynmanBonus16,Bonus16.0,"Relativistic Hamiltonian (charged particle in EM field, minimal coupling)",Physics,Relativity,Relativistic Dynamics,Avec,$A_{vec}$,$A_{vec}$: magnetic vector potential,"A_{vec} \in [1.0,5.0]","$A_{vec} \in [1.0,5.0]$"
Bonus16,FeynmanBonus16,Bonus16.0,"Relativistic Hamiltonian (charged particle in EM field, minimal coupling)",Physics,Relativity,Relativistic Dynamics,p,$p$,$p$: canonical momentum,"p \in [1.0,5.0]","$p \in [1.0,5.0]$"
Bonus17,FeynmanBonus17,Bonus17.0,Hamiltonian (anharmonic oscillator with cubic nonlinearity),Physics,Classical Mechanics,Hamiltonian Mechanics,m,$m$,$m$: particle mass,"m \in [1.0,5.0]","$m \in [1.0,5.0]$"
Bonus17,FeynmanBonus17,Bonus17.0,Hamiltonian (anharmonic oscillator with cubic nonlinearity),Physics,Classical Mechanics,Hamiltonian Mechanics,omega,$\omega$,$\omega$: natural angular frequency,"\omega \in [1.0,5.0]","$\omega \in [1.0,5.0]$"
Bonus17,FeynmanBonus17,Bonus17.0,Hamiltonian (anharmonic oscillator with cubic nonlinearity),Physics,Classical Mechanics,Hamiltonian Mechanics,p,$p$,$p$: canonical momentum,"p \in [1.0,5.0]","$p \in [1.0,5.0]$"
Bonus17,FeynmanBonus17,Bonus17.0,Hamiltonian (anharmonic oscillator with cubic nonlinearity),Physics,Classical Mechanics,Hamiltonian Mechanics,x,$x$,$x$: displacement from equilibrium,"x \in [1.0,5.0]","$x \in [1.0,5.0]$"
Bonus17,FeynmanBonus17,Bonus17.0,Hamiltonian (anharmonic oscillator with cubic nonlinearity),Physics,Classical Mechanics,Hamiltonian Mechanics,alpha,$\alpha$,$\alpha$: anharmonicity parameter,"\alpha \in [1.0,5.0]","$\alpha \in [1.0,5.0]$"
Bonus17,FeynmanBonus17,Bonus17.0,Hamiltonian (anharmonic oscillator with cubic nonlinearity),Physics,Classical Mechanics,Hamiltonian Mechanics,y,$y$,$y$: characteristic length scale,"y \in [1.0,5.0]","$y \in [1.0,5.0]$"
Bonus18,FeynmanBonus18,Bonus18.0,Friedmann equation (total energy density from curvature),Astronomy,Cosmology,Energy Density,HG,$H_G$,$H_G$: Hubble parameter,"H_G \in [1.0,5.0]","$H_G \in [1.0,5.0]$"
Bonus18,FeynmanBonus18,Bonus18.0,Friedmann equation (total energy density from curvature),Astronomy,Cosmology,Energy Density,c,$c$,$c$: speed of light,"c \in [1.0,5.0]","$c \in [1.0,5.0]$"
Bonus18,FeynmanBonus18,Bonus18.0,Friedmann equation (total energy density from curvature),Astronomy,Cosmology,Energy Density,kf,$k_f$,$k_f$: spatial curvature constant,"k_f \in [1.0,5.0]","$k_f \in [1.0,5.0]$"
Bonus18,FeynmanBonus18,Bonus18.0,Friedmann equation (total energy density from curvature),Astronomy,Cosmology,Energy Density,r,$r$,$r$: scale factor $a(t)$,"r \in [1.0,5.0]","$r \in [1.0,5.0]$"
Bonus18,FeynmanBonus18,Bonus18.0,Friedmann equation (total energy density from curvature),Astronomy,Cosmology,Energy Density,G,$G$,$G$: gravitational constant,"G \in [1.0,5.0]","$G \in [1.0,5.0]$"
Bonus19,FeynmanBonus19,Bonus19.0,"Friedmann equation (effective pressure, equation of state parameter $w=\alpha$)",Astronomy,Cosmology,Equation of State,HG,$H_G$,$H_G$: Hubble parameter,"H_G \in [1.0,5.0]","$H_G \in [1.0,5.0]$"
Bonus19,FeynmanBonus19,Bonus19.0,"Friedmann equation (effective pressure, equation of state parameter $w=\alpha$)",Astronomy,Cosmology,Equation of State,c,$c$,$c$: speed of light,"c \in [1.0,5.0]","$c \in [1.0,5.0]$"
Bonus19,FeynmanBonus19,Bonus19.0,"Friedmann equation (effective pressure, equation of state parameter $w=\alpha$)",Astronomy,Cosmology,Equation of State,alpha,$\alpha$,$\alpha$: equation of state parameter $w$,"\alpha \in [1.0,5.0]","$\alpha \in [1.0,5.0]$"
Bonus19,FeynmanBonus19,Bonus19.0,"Friedmann equation (effective pressure, equation of state parameter $w=\alpha$)",Astronomy,Cosmology,Equation of State,kf,$k_f$,$k_f$: spatial curvature constant,"k_f \in [1.0,5.0]","$k_f \in [1.0,5.0]$"
Bonus19,FeynmanBonus19,Bonus19.0,"Friedmann equation (effective pressure, equation of state parameter $w=\alpha$)",Astronomy,Cosmology,Equation of State,r,$r$,$r$: scale factor $a(t)$,"r \in [1.0,5.0]","$r \in [1.0,5.0]$"
Bonus19,FeynmanBonus19,Bonus19.0,"Friedmann equation (effective pressure, equation of state parameter $w=\alpha$)",Astronomy,Cosmology,Equation of State,G,$G$,$G$: gravitational constant,"G \in [1.0,5.0]","$G \in [1.0,5.0]$"
Bonus20,FeynmanBonus20,Bonus20.0,Klein-Nishina formula (quantum Compton differential cross-section),Physics,Quantum Mechanics,Scattering Cross-Section,alpha,$\alpha$,$\alpha$: fine structure constant,"\alpha \in [1.0,5.0]","$\alpha \in [1.0,5.0]$"
Bonus20,FeynmanBonus20,Bonus20.0,Klein-Nishina formula (quantum Compton differential cross-section),Physics,Quantum Mechanics,Scattering Cross-Section,h,$h$,$h$: Planck's constant,"h \in [1.0,5.0]","$h \in [1.0,5.0]$"
Bonus20,FeynmanBonus20,Bonus20.0,Klein-Nishina formula (quantum Compton differential cross-section),Physics,Quantum Mechanics,Scattering Cross-Section,omega0,$\omega_0$,$\omega_0$: incident photon frequency,"\omega_0 \in [1.0,5.0]","$\omega_0 \in [1.0,5.0]$"
Bonus20,FeynmanBonus20,Bonus20.0,Klein-Nishina formula (quantum Compton differential cross-section),Physics,Quantum Mechanics,Scattering Cross-Section,omega,$\omega$,$\omega$: scattered photon frequency,"\omega \in [1.0,5.0]","$\omega \in [1.0,5.0]$"
Bonus20,FeynmanBonus20,Bonus20.0,Klein-Nishina formula (quantum Compton differential cross-section),Physics,Quantum Mechanics,Scattering Cross-Section,m,$m$,$m$: electron rest mass,"m \in [1.0,5.0]","$m \in [1.0,5.0]$"
Bonus20,FeynmanBonus20,Bonus20.0,Klein-Nishina formula (quantum Compton differential cross-section),Physics,Quantum Mechanics,Scattering Cross-Section,c,$c$,$c$: speed of light,"c \in [1.0,5.0]","$c \in [1.0,5.0]$"
Bonus20,FeynmanBonus20,Bonus20.0,Klein-Nishina formula (quantum Compton differential cross-section),Physics,Quantum Mechanics,Scattering Cross-Section,beta,$\beta$,$\beta$: scattering angle,"\beta \in [0.0,6.0]","$\beta \in [0.0,6.0]$"
